✅ Connected to database: intelligence.db

🔍 DATABASE STRUCTURE ANALYSIS
==================================================
📋 Tables found: 5

📊 ENVIRONMENT_RULES
   Rows: 15
   Columns: environment_type, detection_rule, confidence_threshold, scenario_count
   Sample data:
     1. {'environment_type': 'web_application', 'detection_rule': '{"ports": ["80", "22"], "services": ["ssh", "apache", "nginx"], "min_matches": 2}', 'confidence_threshold': 0.9, 'scenario_count': 179}
     2. {'environment_type': 'standalone_server', 'detection_rule': '{"ports": ["22", "80"], "services": ["ssh", "http"], "min_matches": 2}', 'confidence_threshold': 0.9, 'scenario_count': 19}
     3. {'environment_type': 'active_directory', 'detection_rule': '{"ports": ["389", "445", "88", "53", "80"], "services": ["kerberos", "ldap", "smb", "dns", "http"], ...', 'confidence_threshold': 0.9, 'scenario_count': 45}

📊 PORT_MAPPINGS
   Rows: 1,545
   Columns: port, protocol, scenario_id, weight
   Sample data:
     1. {'port': 22, 'protocol': 'tcp', 'scenario_id': 1, 'weight': 0.1}
     2. {'port': 80, 'protocol': 'tcp', 'scenario_id': 1, 'weight': 0.1}
     3. {'port': 53, 'protocol': 'tcp', 'scenario_id': 2, 'weight': 0.4}

📊 SCENARIOS
   Rows: 467
   Columns: id, scenario_name, canonical_name, port_signature, service_combination, os_family, environment_type, entry_vector, attack_complexity, confidence_score, writeup_count, data_json, created_at
   Sample data:
     1. {'id': 1, 'scenario_name': 'linux_multi_service_ssrf_chain', 'canonical_name': 'web_application_ssrf_attacks', 'port_signature': '22+80', 'service_combination': 'nginx+ssh+internal_services', 'os_family': 'linux', 'environment_type': 'multi_tier_application', 'entry_vector': 'ssrf_with_hmac_oracle', 'attack_complexity': 'insane', 'confidence_score': 1.0, 'writeup_count': 1, 'data_json': '{"writeup_id": "Htb_Response", "scenario_fingerprint": {"scenario_name": "linux_multi_service_ssrf_c...', 'created_at': '2025-07-06 07:11:22'}
     2. {'id': 2, 'scenario_name': 'windows_adcs_esc9_privilege_escalation', 'canonical_name': 'windows_privilege_escalation', 'port_signature': '53+88+389+445+636+5985+9389', 'service_combination': 'dns+kerberos+ldap+smb+adcs+winrm', 'os_family': 'windows_server', 'environment_type': 'active_directory_certificate_services', 'entry_vector': 'assume_breach_low_privilege', 'attack_complexity': 'medium', 'confidence_score': 1.0, 'writeup_count': 1, 'data_json': '{"writeup_id": "Htb_Certified", "scenario_fingerprint": {"scenario_name": "windows_adcs_esc9_privile...', 'created_at': '2025-07-06 07:11:22'}
     3. {'id': 3, 'scenario_name': 'linux_web_app_orm_injection_tty_pushback', 'canonical_name': 'web_application_vulnerabilities', 'port_signature': '22+80', 'service_combination': 'ssh+nginx', 'os_family': 'linux', 'environment_type': 'web_application', 'entry_vector': 'file_read_vulnerability', 'attack_complexity': 'hard', 'confidence_score': 1.0, 'writeup_count': 1, 'data_json': '{"writeup_id": "Htb_Download", "scenario_fingerprint": {"scenario_name": "linux_web_app_orm_injectio...', 'created_at': '2025-07-06 07:11:22'}

📊 SERVICE_MAPPINGS
   Rows: 1,502
   Columns: service_name, scenario_id, weight
   Sample data:
     1. {'service_name': 'nginx', 'scenario_id': 1, 'weight': 0.5}
     2. {'service_name': 'ssh', 'scenario_id': 1, 'weight': 0.3}
     3. {'service_name': 'internal_services', 'scenario_id': 1, 'weight': 0.5}

📊 TECHNIQUES
   Rows: 1,639
   Columns: id, name, mitre_id, category, success_rate, difficulty, time_estimate, scenario_id, data_json
   Sample data:
     1. {'id': 1, 'name': 'SSRF via HTTP Proxy', 'mitre_id': 'T1090.002', 'category': 'command_and_control', 'success_rate': 0.5112177349282588, 'difficulty': 'intermediate', 'time_estimate': '15-45 minutes', 'scenario_id': 1, 'data_json': '{"name": "SSRF via HTTP Proxy", "mitre_id": "T1090.002", "category": "command_and_control", "tools":...'}
     2. {'id': 2, 'name': 'HMAC Digest Oracle Attack', 'mitre_id': 'T1211', 'category': 'defense_evasion', 'success_rate': 0.4159739825934709, 'difficulty': 'advanced', 'time_estimate': '30-60 minutes', 'scenario_id': 1, 'data_json': '{"name": "HMAC Digest Oracle Attack", "mitre_id": "T1211", "category": "defense_evasion", "tools": [...'}
     3. {'id': 3, 'name': 'LDAP Authentication Redirection', 'mitre_id': 'T1557.001', 'category': 'credential_access', 'success_rate': 0.37570404817066905, 'difficulty': 'advanced', 'time_estimate': '45-90 minutes', 'scenario_id': 1, 'data_json': '{"name": "LDAP Authentication Redirection", "mitre_id": "T1557.001", "category": "credential_access"...'}

🎯 SCENARIOS ANALYSIS
==================================================
📊 Total Scenarios: 467

🌍 Environment Distribution:
   web_application: 179 (38.3%)
   active_directory: 45 (9.6%)
   web_server: 28 (6.0%)
   standalone_server: 19 (4.1%)
   containerized_web_application: 15 (3.2%)
   web_application_server: 14 (3.0%)
   standalone_workstation: 7 (1.5%)
   standalone_windows: 6 (1.3%)
   monitoring_infrastructure: 4 (0.9%)
   mail_server: 4 (0.9%)
   corporate_workstation: 4 (0.9%)
   containerized_application: 4 (0.9%)
   standalone_web_server: 3 (0.6%)
   development_server: 3 (0.6%)
   containerized_infrastructure: 3 (0.6%)
   windows_workstation: 2 (0.4%)
   web_development: 2 (0.4%)
   web_application_stack: 2 (0.4%)
   unix_server: 2 (0.4%)
   legacy_windows: 2 (0.4%)
   kubernetes_cluster: 2 (0.4%)
   iot_device: 2 (0.4%)
   corporate_helpdesk: 2 (0.4%)
   containerized_web_applications: 2 (0.4%)
   ci_cd_server: 2 (0.4%)
   aws_cloud: 2 (0.4%)
   active_directory_hybrid: 2 (0.4%)
   wireless_router_infrastructure: 1 (0.2%)
   windows_domain_with_docker: 1 (0.2%)
   windows_domain: 1 (0.2%)
   web_server_with_dns: 1 (0.2%)
   web_hosting_proxy: 1 (0.2%)
   web_hosting_provider: 1 (0.2%)
   web_cms: 1 (0.2%)
   web_application_infrastructure: 1 (0.2%)
   web_application_cluster: 1 (0.2%)
   web_application_cloud: 1 (0.2%)
   web_api: 1 (0.2%)
   vpn_gateway: 1 (0.2%)
